# piecewise constant function 
x y value 

0.000000 0.181818 0.000000
0.000000 0.181818 0.029560
0.090909 0.181818 0.029560
0.090909 0.181818 0.086285
0.181818 0.181818 0.086285
0.181818 0.181818 0.136019
0.272727 0.181818 0.136019
0.272727 0.181818 0.174735
0.363636 0.181818 0.174735
0.363636 0.181818 0.199294
0.454545 0.181818 0.199294
0.454545 0.181818 0.207708
0.545455 0.181818 0.207708
0.545455 0.181818 0.199294
0.636364 0.181818 0.199294
0.636364 0.181818 0.174735
0.727273 0.181818 0.174735
0.727273 0.181818 0.136019
0.818182 0.181818 0.136019
0.818182 0.181818 0.086285
0.909091 0.181818 0.086285
0.909091 0.181818 0.029560
1.000000 0.181818 0.029560
1.000000 0.181818 0.000000

0.000000 0.181818 0.000000
0.000000 0.181818 0.046598
0.090909 0.181818 0.046598
0.090909 0.181818 0.136019
0.181818 0.181818 0.136019
0.181818 0.181818 0.214421
0.272727 0.181818 0.214421
0.272727 0.181818 0.275452
0.363636 0.181818 0.275452
0.363636 0.181818 0.314167
0.454545 0.181818 0.314167
0.454545 0.181818 0.327430
0.545455 0.181818 0.327430
0.545455 0.181818 0.314167
0.636364 0.181818 0.314167
0.636364 0.181818 0.275452
0.727273 0.181818 0.275452
0.727273 0.181818 0.214421
0.818182 0.181818 0.214421
0.818182 0.181818 0.136019
0.909091 0.181818 0.136019
0.909091 0.181818 0.046598
1.000000 0.181818 0.046598
1.000000 0.181818 0.000000

0.000000 0.272727 0.000000
0.000000 0.272727 0.046598
0.090909 0.272727 0.046598
0.090909 0.272727 0.136019
0.181818 0.272727 0.136019
0.181818 0.272727 0.214421
0.272727 0.272727 0.214421
0.272727 0.272727 0.275452
0.363636 0.272727 0.275452
0.363636 0.272727 0.314167
0.454545 0.272727 0.314167
0.454545 0.272727 0.327430
0.545455 0.272727 0.327430
0.545455 0.272727 0.314167
0.636364 0.272727 0.314167
0.636364 0.272727 0.275452
0.727273 0.272727 0.275452
0.727273 0.272727 0.214421
0.818182 0.272727 0.214421
0.818182 0.272727 0.136019
0.909091 0.272727 0.136019
0.909091 0.272727 0.046598
1.000000 0.272727 0.046598
1.000000 0.272727 0.000000

0.000000 0.272727 0.000000
0.000000 0.272727 0.059861
0.090909 0.272727 0.059861
0.090909 0.272727 0.174735
0.181818 0.272727 0.174735
0.181818 0.272727 0.275452
0.272727 0.272727 0.275452
0.272727 0.272727 0.353854
0.363636 0.272727 0.353854
0.363636 0.272727 0.403588
0.454545 0.272727 0.403588
0.454545 0.272727 0.420627
0.545455 0.272727 0.420627
0.545455 0.272727 0.403588
0.636364 0.272727 0.403588
0.636364 0.272727 0.353854
0.727273 0.272727 0.353854
0.727273 0.272727 0.275452
0.818182 0.272727 0.275452
0.818182 0.272727 0.174735
0.909091 0.272727 0.174735
0.909091 0.272727 0.059861
1.000000 0.272727 0.059861
1.000000 0.272727 0.000000

0.000000 0.363636 0.000000
0.000000 0.363636 0.059861
0.090909 0.363636 0.059861
0.090909 0.363636 0.174735
0.181818 0.363636 0.174735
0.181818 0.363636 0.275452
0.272727 0.363636 0.275452
0.272727 0.363636 0.353854
0.363636 0.363636 0.353854
0.363636 0.363636 0.403588
0.454545 0.363636 0.403588
0.454545 0.363636 0.420627
0.545455 0.363636 0.420627
0.545455 0.363636 0.403588
0.636364 0.363636 0.403588
0.636364 0.363636 0.353854
0.727273 0.363636 0.353854
0.727273 0.363636 0.275452
0.818182 0.363636 0.275452
0.818182 0.363636 0.174735
0.909091 0.363636 0.174735
0.909091 0.363636 0.059861
1.000000 0.363636 0.059861
1.000000 0.363636 0.000000

0.000000 0.363636 0.000000
0.000000 0.363636 0.068275
0.090909 0.363636 0.068275
0.090909 0.363636 0.199294
0.181818 0.363636 0.199294
0.181818 0.363636 0.314167
0.272727 0.363636 0.314167
0.272727 0.363636 0.403588
0.363636 0.363636 0.403588
0.363636 0.363636 0.460313
0.454545 0.363636 0.460313
0.454545 0.363636 0.479746
0.545455 0.363636 0.479746
0.545455 0.363636 0.460313
0.636364 0.363636 0.460313
0.636364 0.363636 0.403588
0.727273 0.363636 0.403588
0.727273 0.363636 0.314167
0.818182 0.363636 0.314167
0.818182 0.363636 0.199294
0.909091 0.363636 0.199294
0.909091 0.363636 0.068275
1.000000 0.363636 0.068275
1.000000 0.363636 0.000000

0.000000 0.454545 0.000000
0.000000 0.454545 0.068275
0.090909 0.454545 0.068275
0.090909 0.454545 0.199294
0.181818 0.454545 0.199294
0.181818 0.454545 0.314167
0.272727 0.454545 0.314167
0.272727 0.454545 0.403588
0.363636 0.454545 0.403588
0.363636 0.454545 0.460313
0.454545 0.454545 0.460313
0.454545 0.454545 0.479746
0.545455 0.454545 0.479746
0.545455 0.454545 0.460313
0.636364 0.454545 0.460313
0.636364 0.454545 0.403588
0.727273 0.454545 0.403588
0.727273 0.454545 0.314167
0.818182 0.454545 0.314167
0.818182 0.454545 0.199294
0.909091 0.454545 0.199294
0.909091 0.454545 0.068275
1.000000 0.454545 0.068275
1.000000 0.454545 0.000000

0.000000 0.454545 0.000000
0.000000 0.454545 0.071157
0.090909 0.454545 0.071157
0.090909 0.454545 0.207708
0.181818 0.454545 0.207708
0.181818 0.454545 0.327430
0.272727 0.454545 0.327430
0.272727 0.454545 0.420627
0.363636 0.454545 0.420627
0.363636 0.454545 0.479746
0.454545 0.454545 0.479746
0.454545 0.454545 0.500000
0.545455 0.454545 0.500000
0.545455 0.454545 0.479746
0.636364 0.454545 0.479746
0.636364 0.454545 0.420627
0.727273 0.454545 0.420627
0.727273 0.454545 0.327430
0.818182 0.454545 0.327430
0.818182 0.454545 0.207708
0.909091 0.454545 0.207708
0.909091 0.454545 0.071157
1.000000 0.454545 0.071157
1.000000 0.454545 0.000000

0.000000 0.545455 0.000000
0.000000 0.545455 0.071157
0.090909 0.545455 0.071157
0.090909 0.545455 0.207708
0.181818 0.545455 0.207708
0.181818 0.545455 0.327430
0.272727 0.545455 0.327430
0.272727 0.545455 0.420627
0.363636 0.545455 0.420627
0.363636 0.545455 0.479746
0.454545 0.545455 0.479746
0.454545 0.545455 0.500000
0.545455 0.545455 0.500000
0.545455 0.545455 0.479746
0.636364 0.545455 0.479746
0.636364 0.545455 0.420627
0.727273 0.545455 0.420627
0.727273 0.545455 0.327430
0.818182 0.545455 0.327430
0.818182 0.545455 0.207708
0.909091 0.545455 0.207708
0.909091 0.545455 0.071157
1.000000 0.545455 0.071157
1.000000 0.545455 0.000000

0.000000 0.545455 0.000000
0.000000 0.545455 0.068275
0.090909 0.545455 0.068275
0.090909 0.545455 0.199294
0.181818 0.545455 0.199294
0.181818 0.545455 0.314167
0.272727 0.545455 0.314167
0.272727 0.545455 0.403588
0.363636 0.545455 0.403588
0.363636 0.545455 0.460313
0.454545 0.545455 0.460313
0.454545 0.545455 0.479746
0.545455 0.545455 0.479746
0.545455 0.545455 0.460313
0.636364 0.545455 0.460313
0.636364 0.545455 0.403588
0.727273 0.545455 0.403588
0.727273 0.545455 0.314167
0.818182 0.545455 0.314167
0.818182 0.545455 0.199294
0.909091 0.545455 0.199294
0.909091 0.545455 0.068275
1.000000 0.545455 0.068275
1.000000 0.545455 0.000000

0.000000 0.636364 0.000000
0.000000 0.636364 0.068275
0.090909 0.636364 0.068275
0.090909 0.636364 0.199294
0.181818 0.636364 0.199294
0.181818 0.636364 0.314167
0.272727 0.636364 0.314167
0.272727 0.636364 0.403588
0.363636 0.636364 0.403588
0.363636 0.636364 0.460313
0.454545 0.636364 0.460313
0.454545 0.636364 0.479746
0.545455 0.636364 0.479746
0.545455 0.636364 0.460313
0.636364 0.636364 0.460313
0.636364 0.636364 0.403588
0.727273 0.636364 0.403588
0.727273 0.636364 0.314167
0.818182 0.636364 0.314167
0.818182 0.636364 0.199294
0.909091 0.636364 0.199294
0.909091 0.636364 0.068275
1.000000 0.636364 0.068275
1.000000 0.636364 0.000000

0.000000 0.636364 0.000000
0.000000 0.636364 0.059861
0.090909 0.636364 0.059861
0.090909 0.636364 0.174735
0.181818 0.636364 0.174735
0.181818 0.636364 0.275452
0.272727 0.636364 0.275452
0.272727 0.636364 0.353854
0.363636 0.636364 0.353854
0.363636 0.636364 0.403588
0.454545 0.636364 0.403588
0.454545 0.636364 0.420627
0.545455 0.636364 0.420627
0.545455 0.636364 0.403588
0.636364 0.636364 0.403588
0.636364 0.636364 0.353854
0.727273 0.636364 0.353854
